"","Species","genus","phylo_reg","state","ecotype","SVLmax","HL","HW","FL","TL","log_svl","phylores_HL","phylores_HW","phylores_FL","phylores_TL"
"Rana_yavapaiensis","Rana_yavapaiensis","Lithobates","AM","MEX","Pond-dwelling",86,21.7,20.35,NA,31.8,4.45434729625351,0.0901692418251514,-0.0138142794755436,NA,0.0325399429059119
"Rana_magnaocularis","Rana_magnaocularis","Lithobates","AM","MEX","Pond-dwelling",63.5,21,20.8,NA,33.5,4.15103990589865,0.164722591984145,0.193625847989362,NA,0.193798050324121
"Rana_sphenocephala","Rana_sphenocephala","Lithobates","AM","NAM","Pond-dwelling",127,19.92,18.09,49.73,33.6,4.84418708645859,-0.133386522597017,-0.370045776690504,0.156009145199641,-0.0527275636520463
"Rana_sevosa","Rana_sevosa","Lithobates","AM","NAM","Terrestrial",90.17,28.5,35,60,37.5,4.50169677751182,0.346003667583418,0.499483740752474,0.540866872131137,0.180370599672832
"Rana_palustris","Rana_palustris","Lithobates","AM","NAM","Terrestrial",87,17.42,17.41,44.28,30.91,4.46590811865458,-0.133615524782372,-0.176923523727605,0.257653709941758,-8.04076288707378e-06
"Rana_dunni","Rana_dunni","Lithobates","AM","MEX","Stream-dwelling",97,30.9,34,52.1,38.9,4.57471097850338,0.401015391519947,0.425825010481415,0.357663670910847,0.190741621985455
"Rana_montezumae","Rana_montezumae","Lithobates","AM","MEX","Pond-dwelling",116,NA,35.9,55.5,45.1,4.75359019110636,NA,0.37076077135709,0.317927164387275,0.274240002820137
"Rana_chiricahuensis","Rana_chiricahuensis","Lithobates","AM","MEX","Pond-dwelling",137,28.5,28,NA,41.3,4.91998092582813,0.197969201176887,0.0204276158440839,NA,0.126326011437839
"Rana_pipiens","Rana_pipiens","Lithobates","AM","NAM","Pond-dwelling",111,18.26,18.66,50.65,34.89,4.70953020131233,-0.17274163477042,-0.256637760016717,0.251842260992166,0.0334179079209647
"Rana_tarahumarae","Rana_tarahumarae","Lithobates","AM","MEX","Pond-dwelling",114,20.95652174,22.66521739,NA,NA,4.7361984483945,-0.0444427407177352,-0.0785045168962291,NA,NA
"Rana_sierramadrensis","Rana_sierramadrensis","Lithobates","AM","MEX","Stream-dwelling",99,28.5,25.2,55,44.5,4.59511985013459,0.31294041438236,0.113822023785319,0.400085507418257,0.317890154157648
"Rana_palmipes","Rana_palmipes","Lithobates","AM","NEO","Terrestrial",116.4,35.7,35.8,49.2,47.3,4.75703253529734,0.480884681944057,0.365865290985993,0.195456513469665,0.320628940712583
"Rana_bwana","Rana_bwana","Lithobates","AM","NEO","Stream-dwelling",94.6,31.7,32.9,42.8,42.8,4.54965747605783,0.435442545008151,0.408265255672852,0.175456458787935,0.295303768219211
"Rana_juliani","Rana_juliani","Lithobates","AM","NEO","Stream-dwelling",70,26.7,23.7,35.3,40.8,4.24849524204936,0.370373412674392,0.26452325956445,0.156136334400085,0.355854531894255
"Rana_vaillanti","Rana_vaillanti","Lithobates","AM","NEO","Terrestrial",108.1,35.1,34,49.2,49.8,4.68305672464516,0.490115818502336,0.359537442939752,0.238033559149228,0.398762066957872
"Rana_vibicaria","Rana_vibicaria","Lithobates","AM","NEO","Pond-dwelling",76.5,19,20,NA,26,4.33729074083249,-0.00127668738073705,0.0404540547058785,NA,-0.126693965163392
"Rana_warszewitschii","Rana_warszewitschii","Lithobates","AM","NEO","Terrestrial",55.5,21.115,16.48,21.63,NA,4.01638302075239,0.217840107462855,0.0432055064252088,-0.200072360152557,NA
"Rana_catesbeiana","Rana_catesbeiana","Lithobates","AM","NAM","Pond-dwelling",203,NA,34,48.2,40,5.31320597904179,NA,-0.0259974096005982,-0.145185728365255,-0.0472028822296404
"Rana_heckscheri","Rana_heckscheri","Lithobates","AM","NAM","Pond-dwelling",155,NA,34.33333333,40.33333333,38.33333333,5.04342511691925,NA,0.148814780423342,-0.1680931405328,0.00734820498913269
"Rana_okaloosae","Rana_okaloosae","Lithobates","AM","NAM","Pond-dwelling",49,17.5,15.4,23,NA,3.89182029811063,0.0741411512703043,0.0516348506075701,-0.0669668581432674,NA
"Rana_clamitans","Rana_clamitans","Lithobates","AM","NAM","Pond-dwelling",101.8,NA,30.66666667,39.33333333,40.66666667,4.62301010411642,NA,0.2930906381909,0.0487723212316484,0.21777030575617
"Rana_grylio","Rana_grylio","Lithobates","AM","NAM","Pond-dwelling",162,NA,27.375,37.5,34.5,5.08759633523238,NA,-0.104696350897339,-0.266353369041928,-0.113912244967993
"Rana_septentrionalis","Rana_septentrionalis","Lithobates","AM","NAM","Pond-dwelling",76,NA,23,32,29,4.33073334028633,NA,0.184227913995915,0.0106568380446852,-0.0151342619983015
"Rana_longicrus","Rana_longicrus","Rana","EA","AS","Pond-dwelling",55,13,11.6,NA,24.1,4.00733318523247,-0.263991406482554,-0.302400093583468,NA,-0.0838066730388554
"Rana_omeimontis","Rana_omeimontis","Rana","EA","AS","Terrestrial",70.3,17.57,17.76,33.05,36.6,4.25277179881662,-0.049610761866302,-0.0266195131779519,0.0878135490261656,0.245681295452636
"Rana_coreana","Rana_coreana","Rana","EA","AS","Terrestrial",41,12.59,12.53,25.18,21.19,3.71357206670431,-0.192073253092587,-0.0455519237490511,0.126180369547966,-0.106746472426904
"Rana_amurensis","Rana_amurensis","Rana","EA","AS","Pond-dwelling",70.75,18.8,18.7,32.3,28.9,4.25915253652335,0.0157950061579695,0.0210514412030336,0.0611867562659878,0.00717783076982226
"Rana_chensinensis","Rana_chensinensis","Rana","EA","AS","Pond-dwelling",49.45,15.7,15.9,27.9,26,3.90096205806872,-0.0376343671570551,0.0779933832910857,0.120904041709661,0.0303675262721317
"Rana_huanrensis","Rana_huanrensis","Rana","EA","AS","Stream-dwelling",56.1,14,15.3,23.2,24.2,4.02713581252865,-0.19689175959537,-0.0376679104336928,-0.136190129686827,-0.086794062177832
"Rana_kukunoris","Rana_kukunoris","Rana","EA","AS","Stream-dwelling",64.5,17.5,18.2,31,26.8,4.16666522380173,-0.023128903267974,0.0505346493480432,0.0733381382463754,-0.0349700125818249
"Rana_ornativentris","Rana_ornativentris","Rana","EA","AS","Pond-dwelling",69,17.7804,17.7804,28.5564,31.2504,4.23410650459726,-0.0311011240317458,-0.0140518141775741,-0.0475840604922979,0.0943840169235517
"Rana_pirica","Rana_pirica","Rana","EA","AS","Pond-dwelling",63.5,16.6532,17.7276,26.3228,26.86,4.15103990589865,-0.0671974555871864,0.0337956084155149,-0.0812203741644324,-0.0271091974118076
"Rana_dybowskii","Rana_dybowskii","Rana","EA","AS","Pond-dwelling",70.8,18.827,19.2204,34.001,30.2356,4.25985900069967,0.0169801221328254,0.0480679068456342,0.112102853971009,0.0521019738839326
"Rana_sakuraii","Rana_sakuraii","Rana","EA","AS","Stream-dwelling",58,16.51644,15.75552,26.22936,24.618,4.06044301054642,-0.0433805532142437,-0.0287078066976614,-0.0326330927415115,-0.0816581188860854
"Rana_tagoi","Rana_tagoi","Rana","EA","AS","Terrestrial",58.1,15.95028,15.77596,23.5332,23.22814,4.06216566385787,-0.0788700800516025,-0.028465269769343,-0.142091776038406,-0.140391615603011
"Rana_sauteri","Rana_sauteri","Rana","EA","AS","Terrestrial",51.15,15.1,13,21.5,23.6,3.93476249239764,-0.0885626088971345,-0.144055985840207,-0.1591236743499,-0.078649151993555
"Rana_temporaria","Rana_temporaria","Rana","EA","EU","Terrestrial",109,16.9,15.5,29.56666667,NA,4.69134788222914,-0.243706004175424,-0.431055713466067,-0.275984469357749,NA
"Rana_arvalis","Rana_arvalis","Rana","EA","EU","Pond-dwelling",75,16.7,17.1,25.2,22,4.31748811353631,-0.12329862185793,-0.104084208203202,-0.220611732022103,-0.28661986802155
"Rana_macrocnemis","Rana_macrocnemis","Rana","EA","EU","Pond-dwelling",75,17.53,19.89,NA,31.34,4.31748811353631,-0.0747936423474966,0.0470544211540647,NA,0.0672329155480091
"Rana_zhengi","Rana_zhengi","Rana","EA","AS","Stream-dwelling",45.7,14.2,14.1,23.7,25.4,3.82209829790016,-0.110142531387231,0.00609911369731009,0.00314272374590141,0.0354080732275674
"Rana_johnsi","Rana_johnsi","Rana","EA","AS","Stream-dwelling",47.2,15.8,14.5,24,27.9,3.85439389259151,-0.0148042530864574,0.0143140320424053,-0.00286634051082846,0.117660419964682
"Rana_muscosa","Rana_muscosa","Rana","EA","NAM","Stream-dwelling",89,17.7,19.8,29.5,30.7,4.48863636973214,-0.125713586072977,-0.0621918278587312,-0.161570461757221,-0.0150064358041422
"Rana_sierrae","Rana_sierrae","Rana","EA","NAM","Pond-dwelling",72,18.9,21.7,30.5,32.1,4.27666611901606,0.0149018463597606,0.159125103013122,-0.00623379616779296,0.105888051796108
"Rana_boylii","Rana_boylii","Rana","EA","NAM","Stream-dwelling",81,15,17.51666667,NA,NA,4.39444915467244,-0.257894334570178,-0.127095792809062,NA,NA
"Rana_shuchinae","Rana_shuchinae","Rana","EA","AS","Pond-dwelling",44.5,11.3,10.5,17,14.5,3.79548918917219,-0.329164570920275,-0.272420571015946,-0.313804011461777,-0.515614198856459
